rank,feature_id,token,all_mean_base,all_mean_chat,all_mean_diff,all_mean_ratio,model_type,sae_layer,sae_trainer
12,81088,asst,0.0,0.7281093597412109,0.7281093597412109,inf,llama,15,32x
8,110921,newline,0.0,0.6491718888282776,0.6491718888282776,inf,llama,15,32x
9,114525,newline,0.07845312356948853,0.722406268119812,0.6439531445503235,9.208126270204563,llama,15,32x
13,70267,asst,0.0,0.636343777179718,0.636343777179718,inf,llama,15,32x
11,45746,endheader,0.0,0.6338437795639038,0.6338437795639038,inf,llama,15,32x
12,96761,endheader,0.0,0.6251875162124634,0.6251875162124634,inf,llama,15,32x
10,44519,newline,0.0,0.6195234656333923,0.6195234656333923,inf,llama,15,32x
13,119477,endheader,0.0,0.6010624766349792,0.6010624766349792,inf,llama,15,32x
14,32176,endheader,0.4392968714237213,1.0343281030654907,0.5950312614440918,2.354508238843876,llama,15,32x
15,33986,endheader,0.0,0.5776875019073486,0.5776875019073486,inf,llama,15,32x
11,112606,newline,0.0,0.5639843940734863,0.5639843940734863,inf,llama,15,32x
16,16668,endheader,0.0,0.5523437261581421,0.5523437261581421,inf,llama,15,32x
12,34433,newline,0.07542187720537186,0.6262343525886536,0.5508124828338623,8.30308626346482,llama,15,32x
13,54240,newline,0.014265624806284904,0.5537656545639038,0.5395000576972961,38.81818441768742,llama,15,32x
14,128735,newline,0.30243751406669617,0.8241249918937683,0.5216875076293945,2.724943016533409,llama,15,32x
17,49065,endheader,0.0,0.4652499854564667,0.4652499854564667,inf,llama,15,32x
15,70267,newline,0.001984375063329935,0.4556874930858612,0.4537031054496765,229.63778446257146,llama,15,32x
16,68232,newline,0.10255468636751175,0.5289531350135803,0.42639845609664917,5.1577665901881895,llama,15,32x
18,128735,endheader,0.07401562482118607,0.48921874165534973,0.41520312428474426,6.609668469829858,llama,15,32x
17,74684,newline,0.0,0.4087187647819519,0.4087187647819519,inf,llama,15,32x
18,59655,newline,0.11293750256299973,0.5162656307220459,0.4033281207084656,4.571250638680082,llama,15,32x
19,52873,newline,0.03084374964237213,0.42899999022483826,0.39815622568130493,13.908814434010713,llama,15,32x
19,110921,endheader,0.0,0.38100001215934753,0.38100001215934753,inf,llama,15,32x
14,106687,asst,0.0,0.3641406297683716,0.3641406297683716,inf,llama,15,32x
20,117778,newline,0.07871875166893005,0.43510937690734863,0.3563906252384186,5.527391729194359,llama,15,32x
21,37425,newline,0.0,0.35554686188697815,0.35554686188697815,inf,llama,15,32x
22,86783,newline,0.004765625111758709,0.3492031395435333,0.34443750977516174,73.27541116944114,llama,15,32x
20,72614,endheader,0.0044218748807907104,0.34828126430511475,0.34385937452316284,78.76325624184912,llama,15,32x
23,33986,newline,0.023499999195337296,0.3655781149864197,0.3420781195163727,15.556516064007148,llama,15,32x
24,18431,newline,0.0028437499422580004,0.3395312428474426,0.33668750524520874,119.39560430473269,llama,15,32x
