rank,feature_id,token,sparsity_base,sparsity_chat,sparsity_diff,sparsity_ratio,model_type,sae_layer,sae_trainer
19,4538,endheader,0.0,0.10700000077486038,0.10700000077486038,inf,llama,15,32x
21,43660,asst,0.0,0.10599999874830246,0.10599999874830246,inf,llama,15,32x
22,111573,newline,0.0,0.10300000011920929,0.10300000011920929,inf,llama,15,32x
23,74684,newline,0.0,0.09799999743700027,0.09799999743700027,inf,llama,15,32x
24,11748,newline,0.0,0.0949999988079071,0.0949999988079071,inf,llama,15,32x
20,2404,endheader,0.0,0.09300000220537186,0.09300000220537186,inf,llama,15,32x
25,13912,newline,0.12300000339746475,0.2160000056028366,0.09300000220537186,1.7560975580207892,llama,15,32x
22,90272,asst,0.0,0.09300000220537186,0.09300000220537186,inf,llama,15,32x
26,68232,newline,0.03999999910593033,0.13300000131130219,0.09300000220537186,3.3250001071020985,llama,15,32x
27,87593,newline,0.0,0.09099999815225601,0.09099999815225601,inf,llama,15,32x
23,33241,asst,0.0,0.09099999815225601,0.09099999815225601,inf,llama,15,32x
24,111602,asst,0.0,0.08799999952316284,0.08799999952316284,inf,llama,15,32x
28,33209,newline,0.02199999988079071,0.10899999737739563,0.08699999749660492,4.954545362182885,llama,15,32x
25,69316,asst,0.0,0.0860000029206276,0.0860000029206276,inf,llama,15,32x
21,68232,endheader,0.0,0.0860000029206276,0.0860000029206276,inf,llama,15,32x
26,28714,asst,0.0010000000474974513,0.08699999749660492,0.085999995470047,86.99999336432697,llama,15,32x
27,35701,asst,0.01600000075995922,0.10100000351667404,0.08500000089406967,6.31249991996447,llama,15,32x
28,49527,asst,0.0,0.08299999684095383,0.08299999684095383,inf,llama,15,32x
22,54240,endheader,0.0,0.0820000022649765,0.0820000022649765,inf,llama,15,32x
29,86783,newline,0.0020000000949949026,0.08299999684095383,0.08100000023841858,41.499996449332855,llama,15,32x
30,72614,newline,0.0,0.07999999821186066,0.07999999821186066,inf,llama,15,32x
23,4680,endheader,0.024000000208616257,0.10400000214576721,0.07999999821186066,4.333333385073476,llama,15,32x
29,129143,asst,0.0,0.07599999755620956,0.07599999755620956,inf,llama,15,32x
31,11060,newline,0.0,0.07599999755620956,0.07599999755620956,inf,llama,15,32x
30,18091,asst,0.05900000035762787,0.13199999928474426,0.0729999989271164,2.2372881099089437,llama,15,32x
32,8295,newline,0.0010000000474974513,0.0729999989271164,0.07199999690055847,72.99999545980266,llama,15,32x
33,82169,newline,0.0,0.07000000029802322,0.07000000029802322,inf,llama,15,32x
31,104510,asst,0.0,0.07000000029802322,0.07000000029802322,inf,llama,15,32x
24,49527,endheader,0.0,0.0689999982714653,0.0689999982714653,inf,llama,15,32x
26,52794,endheader,0.0,0.06700000166893005,0.06700000166893005,inf,llama,15,32x
34,50480,newline,0.0010000000474974513,0.06800000369548798,0.06700000166893005,68.00000046566126,llama,15,32x
25,1170,endheader,0.0,0.06700000166893005,0.06700000166893005,inf,llama,15,32x
32,45649,asst,0.003000000026077032,0.0689999982714653,0.06599999964237213,22.999999223897863,llama,15,32x
35,115460,newline,0.0,0.06499999761581421,0.06499999761581421,inf,llama,15,32x
27,104510,endheader,0.0,0.06499999761581421,0.06499999761581421,inf,llama,15,32x
34,127594,asst,0.0,0.06400000303983688,0.06400000303983688,inf,llama,15,32x
36,8064,newline,0.0,0.06400000303983688,0.06400000303983688,inf,llama,15,32x
33,88633,asst,0.0,0.06400000303983688,0.06400000303983688,inf,llama,15,32x
37,9698,newline,0.0,0.06300000101327896,0.06300000101327896,inf,llama,15,32x
