rank,feature_id,token,sparsity_base,sparsity_chat,sparsity_diff,link
79,306,endheader,0.16699999570846558,0.0,-0.16699999570846558,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/306
53,98442,asst,0.16699999570846558,0.0,-0.16699999570846558,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/98442
80,67341,endheader,0.16500000655651093,0.0,-0.16500000655651093,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/67341
38,64497,newline,0.18400000035762787,0.024000000208616257,-0.1599999964237213,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/64497
81,120124,endheader,0.1599999964237213,0.0,-0.1599999964237213,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/120124
54,36014,asst,0.1599999964237213,0.0,-0.1599999964237213,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/36014
55,18365,asst,0.164000004529953,0.004999999888241291,-0.15900000929832458,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/18365
82,66587,endheader,0.15800000727176666,0.0,-0.15800000727176666,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/66587
56,49979,asst,0.1550000011920929,0.0,-0.1550000011920929,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/49979
83,52609,endheader,0.15299999713897705,0.0,-0.15299999713897705,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52609
39,128712,newline,0.1469999998807907,0.0,-0.1469999998807907,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/128712
57,37833,asst,0.1459999978542328,0.0,-0.1459999978542328,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/37833
58,114108,asst,0.20000000298023224,0.054999999701976776,-0.14500001072883606,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/114108
59,98456,asst,0.1469999998807907,0.0020000000949949026,-0.14499999582767487,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/98456
84,60269,endheader,0.14300000667572021,0.0,-0.14300000667572021,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/60269
85,105770,endheader,0.14100000262260437,0.0,-0.14100000262260437,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/105770
60,129754,asst,0.13899999856948853,0.0010000000474974513,-0.1379999965429306,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/129754
86,88002,endheader,0.13600000739097595,0.0,-0.13600000739097595,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/88002
40,25964,newline,0.13500000536441803,0.0,-0.13500000536441803,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/25964
87,63343,endheader,0.13500000536441803,0.0010000000474974513,-0.1340000033378601,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/63343
88,82334,endheader,0.17100000381469727,0.03700000047683716,-0.1340000033378601,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/82334
89,12209,endheader,0.14100000262260437,0.010999999940395355,-0.12999999523162842,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/12209
61,100302,asst,0.12999999523162842,0.0,-0.12999999523162842,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/100302
90,66779,endheader,0.12600000202655792,0.0,-0.12600000202655792,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/66779
41,2404,newline,0.1599999964237213,0.03400000184774399,-0.12599998712539673,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/2404
63,63135,asst,0.12399999797344208,0.0,-0.12399999797344208,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/63135
64,90885,asst,0.12399999797344208,0.0,-0.12399999797344208,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/90885
62,29984,asst,0.12399999797344208,0.0,-0.12399999797344208,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/29984
65,39674,asst,0.12300000339746475,0.0,-0.12300000339746475,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/39674
42,66961,newline,0.12300000339746475,0.0,-0.12300000339746475,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/66961
43,71888,newline,0.12200000137090683,0.0,-0.12200000137090683,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/71888
91,2330,endheader,0.12099999934434891,0.0,-0.12099999934434891,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/2330
44,39674,newline,0.12099999934434891,0.0,-0.12099999934434891,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/39674
66,33688,asst,0.125,0.004000000189989805,-0.12099999934434891,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33688
45,1287,newline,0.11999999731779099,0.0,-0.11999999731779099,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/1287
67,64753,asst,0.11999999731779099,0.0,-0.11999999731779099,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/64753
46,27811,newline,0.11900000274181366,0.0,-0.11900000274181366,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/27811
92,5931,endheader,0.11900000274181366,0.0,-0.11900000274181366,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/5931
93,59250,endheader,0.11800000071525574,0.0,-0.11800000071525574,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/59250
94,36310,endheader,0.11999999731779099,0.003000000026077032,-0.11699999868869781,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/36310
68,119916,asst,0.11299999803304672,0.0,-0.11299999803304672,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/119916
95,70464,endheader,0.11699999868869781,0.004000000189989805,-0.11299999803304672,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/70464
69,36708,asst,0.1120000034570694,0.0,-0.1120000034570694,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/36708
96,53931,endheader,0.11100000143051147,0.0,-0.11100000143051147,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/53931
97,111375,endheader,0.10999999940395355,0.0,-0.10999999940395355,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/111375
47,116997,newline,0.1080000028014183,0.0,-0.1080000028014183,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/116997
98,91680,endheader,0.10700000077486038,0.0,-0.10700000077486038,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/91680
99,48593,endheader,0.10599999874830246,0.0,-0.10599999874830246,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/48593
