rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,active_mean_ratio,model_type,sae_layer,sae_trainer
31,15970,asst,0.0,3.796875,3.796875,inf,llama,15,32x
93,122795,newline,0.0,3.784374952316284,3.784374952316284,inf,llama,15,32x
58,114426,endheader,0.0,3.78125,3.78125,inf,llama,15,32x
94,92989,newline,0.0,3.771205425262451,3.771205425262451,inf,llama,15,32x
96,54922,newline,0.0,3.765625,3.765625,inf,llama,15,32x
95,118657,newline,0.0,3.765625,3.765625,inf,llama,15,32x
59,16023,endheader,0.0,3.765625,3.765625,inf,llama,15,32x
98,39127,newline,0.0,3.75,3.75,inf,llama,15,32x
97,103811,newline,0.0,3.75,3.75,inf,llama,15,32x
32,33986,asst,0.0,3.7498512268066406,3.7498512268066406,inf,llama,15,32x
99,83773,newline,0.0,3.74609375,3.74609375,inf,llama,15,32x
100,32856,newline,0.0,3.744611978530884,3.744611978530884,inf,llama,15,32x
60,64729,endheader,0.0,3.734375,3.734375,inf,llama,15,32x
61,74359,endheader,0.0,3.71875,3.71875,inf,llama,15,32x
62,89309,endheader,0.0,3.70703125,3.70703125,inf,llama,15,32x
63,1170,endheader,0.0,3.705223798751831,3.705223798751831,inf,llama,15,32x
65,53457,endheader,0.0,3.703125,3.703125,inf,llama,15,32x
33,53457,asst,0.0,3.703125,3.703125,inf,llama,15,32x
64,97821,endheader,0.0,3.703125,3.703125,inf,llama,15,32x
34,129143,asst,0.0,3.6940789222717285,3.6940789222717285,inf,llama,15,32x
66,1393,endheader,0.0,3.6931817531585693,3.6931817531585693,inf,llama,15,32x
67,36322,endheader,0.0,3.6875,3.6875,inf,llama,15,32x
68,64921,endheader,0.0,3.6840624809265137,3.6840624809265137,inf,llama,15,32x
35,92525,asst,0.0,3.671875,3.671875,inf,llama,15,32x
69,92525,endheader,0.0,3.671875,3.671875,inf,llama,15,32x
36,78042,asst,0.0,3.640625,3.640625,inf,llama,15,32x
70,78042,endheader,0.0,3.640625,3.640625,inf,llama,15,32x
37,40506,asst,0.0,3.640625,3.640625,inf,llama,15,32x
71,40506,endheader,0.0,3.640625,3.640625,inf,llama,15,32x
72,96761,endheader,0.0,3.6348111629486084,3.6348111629486084,inf,llama,15,32x
73,8064,endheader,0.0,3.631324291229248,3.631324291229248,inf,llama,15,32x
75,120896,endheader,0.0,3.625,3.625,inf,llama,15,32x
39,31363,asst,0.0,3.625,3.625,inf,llama,15,32x
38,71235,asst,0.0,3.625,3.625,inf,llama,15,32x
74,71235,endheader,0.0,3.625,3.625,inf,llama,15,32x
76,125971,endheader,0.0,3.619140625,3.619140625,inf,llama,15,32x
79,39009,endheader,0.0,3.609375,3.609375,inf,llama,15,32x
78,7014,endheader,0.0,3.609375,3.609375,inf,llama,15,32x
80,93718,endheader,0.0,3.609375,3.609375,inf,llama,15,32x
77,81118,endheader,0.0,3.609375,3.609375,inf,llama,15,32x
40,93718,asst,0.0,3.609375,3.609375,inf,llama,15,32x
81,17572,endheader,0.0,3.59375,3.59375,inf,llama,15,32x
41,17572,asst,0.0,3.59375,3.59375,inf,llama,15,32x
82,69835,endheader,0.0,3.578125,3.578125,inf,llama,15,32x
42,67055,asst,0.0,3.578125,3.578125,inf,llama,15,32x
83,67055,endheader,0.0,3.578125,3.578125,inf,llama,15,32x
