experiment_id,config_name,ifeval_pct_change,harm_pct_change,display_name,mmlu_pro_pct_change,eq_bench_pct_change,gsm8k_pct_change,sum_decrease
layers_32:36-p0.75,role_trait,-2.689873417721517,-32.18673218673218,"Layers 32-35, 75th",-0.21186440677966356,-2.9913228606762217,2.970297029702959,-2.922763655474443
layers_32:36-p0.5,role_trait,-3.164556962025312,-43.32514332514333,"Layers 32-35, 50th",-0.10593220338982355,-3.0070813214298586,3.341584158415831,-2.9359863284291627
layers_36:40-p0.75,role_trait,-2.531645569620252,-19.301119301119297,"Layers 36-39, 75th",-0.3177966101694871,-3.000513513922861,2.8465346534653353,-3.0034210402472645
layers_34:38-p0.75,role_trait,-3.164556962025312,-16.02511602511603,"Layers 34-37, 75th",-0.21186440677966356,-3.000513513922861,3.341584158415831,-3.0353507243120053
layers_54:58-p0.5,role_trait,-2.848101265822782,-49.549549549549546,"Layers 54-57, 50th",-0.9533898305084778,-2.9913228606762217,3.7128712871287024,-3.0799426698787795
layers_38:42-p0.75,role_trait,-2.848101265822782,-25.63472563472563,"Layers 38-41, 75th",-0.21186440677966356,-2.9913228606762217,2.970297029702959,-3.080991503575708
layers_44:52-p0.5,role_trait,-1.8987341772151782,-46.710346710346705,"Layers 44-51, 50th",-1.588983050847452,-2.2240119426115186,2.5990099009900876,-3.112719269684061
layers_34:50-p0.75,role_trait,-3.6392405063291062,-49.003549003549004,"Layers 34-49, 75th",-2.54237288135593,0.4083973296478894,2.5990099009900876,-3.1742061570470597
layers_56:64-p0.01,role_trait,-5.5379746835443,-5.978705978705986,"Layers 56-63, 1st",0.4237288135593271,-1.4048868357066033,3.341584158415831,-3.1775485472757445
layers_56:60-p0.01,role_trait,-3.7974683544303707,-52.71635271635272,"Layers 56-59, 1st",0.3177966101694871,-3.000513513922861,3.217821782178207,-3.262363476005538
layers_50:54-p0.75,role_trait,-3.0063291139240467,-40.15834015834015,"Layers 50-53, 75th",-0.6355932203389743,-3.000513513922861,3.341584158415831,-3.3008516897700506
layers_50:58-p0.5,role_trait,-3.164556962025312,-49.440349440349436,"Layers 50-57, 50th",-2.1186440677966027,-1.0994599650021453,2.970297029702959,-3.412363965121101
layers_42:46-p0.75,role_trait,-2.689873417721517,-13.185913185913176,"Layers 42-45, 75th",-0.9533898305084778,-2.9913228606762217,3.217821782178207,-3.4167643267280092
layers_56:60-p0.75,role_trait,-3.0063291139240467,-55.99235599235599,"Layers 56-59, 75th",-1.0593220338983014,-2.9492672317801696,3.5891089108910785,-3.4258094687114395
layers_50:58-p0.25,role_trait,-3.3227848101265764,-47.58394758394759,"Layers 50-57, 25th",-1.9067796610169392,-0.9485707831062176,2.7227722772277114,-3.455362977022021
layers_48:56-p0.5,role_trait,-2.3734177215189876,-32.514332514332516,"Layers 48-55, 50th",-3.0720338983050803,-1.0102825100930184,2.970297029702959,-3.4854371002141273
layers_54:58-p0.75,role_trait,-3.7974683544303707,-46.81954681954682,"Layers 54-57, 75th",-0.4237288135593271,-2.9913228606762217,3.7128712871287024,-3.4996487415372166
layers_46:54-p0.75,role_trait,-3.0063291139240467,-43.87114387114387,"Layers 46-53, 75th",-1.9067796610169392,-1.3742161520439562,2.7227722772277114,-3.5645526497572306
layers_42:50-p0.5,role_trait,-1.107594936708854,-46.38274638274639,"Layers 42-49, 50th",-2.966101694915257,-1.7575857363751803,2.227722772277216,-3.6035595957220754
layers_48:52-p0.5,role_trait,-2.848101265822782,-44.63554463554463,"Layers 48-51, 50th",-0.7415254237288142,-2.9913228606762217,2.970297029702959,-3.6106525205248583
layers_32:40-p0.01,role_trait,-2.848101265822782,-60.7971607971608,"Layers 32-39, 1st",0.0,-3.0426366587293385,2.227722772277216,-3.663015152274904
layers_44:60-p0.5,role_trait,-1.7405063291139131,-54.24515424515424,"Layers 44-59, 50th",-3.8135593220338952,-0.7397797004930814,2.5990099009900876,-3.6948354506508023
layers_32:48-p0.25,role_trait,-1.4240506329113838,-64.50996450996452,"Layers 32-47, 25th",-3.495762711864408,-1.5761884223185478,2.7227722772277114,-3.7732294898666283
layers_46:50-p0.5,role_trait,-3.0063291139240467,-47.58394758394759,"Layers 46-49, 50th",-1.165254237288125,-2.9842898326270406,3.341584158415831,-3.814289025423381
