filenames,role_path_lengths,trait_path_lengths,role_max_jump,trait_max_jump,role_pc1_path_length,role_pc1_max_jump
writing_persona7_topic19,1628.9956638014496,978.7808115867356,115.78412612695155,64.3940409116663,56.54922744220385,8.319178893323553
writing_persona7_topic18,1601.893469427364,921.4764443902112,113.91948703015187,73.31872934158935,36.96948065574243,6.667975185595798
writing_persona7_topic17,1486.4197970544667,900.2671085343252,98.78479138577356,61.31254968886623,44.09914305649657,8.044671390410423
writing_persona7_topic16,1628.593866124522,1019.5641913174568,117.8945368787183,65.31777714103404,36.795778127009136,6.394288511878965
writing_persona7_topic15,1859.122210743,1110.7305438647993,132.46175243736772,83.3740903330343,23.440648025653108,5.145632985479089
writing_persona7_topic14,1409.770524038083,802.7818210547609,93.57787271116446,55.92593635347336,53.264456224022574,9.332626248572732
writing_persona7_topic13,1595.122094234178,957.17079181737,92.71452412096782,58.60885064172105,46.99663132370536,6.897221180798988
writing_persona7_topic12,1160.076132630751,704.397132677563,122.09457186514463,72.08733420172135,58.00801672739297,7.190425186893198
writing_persona7_topic11,1182.8988893789451,739.1815711475962,94.8615270032888,62.98912719827687,33.40118136448485,5.364509212278363
writing_persona7_topic10,1752.3247593104145,1050.2683189913346,102.68793203928242,61.03421301002141,48.00510940417618,9.626165400344535
writing_persona7_topic1,2099.6971461388875,1314.3328909016643,138.42036340648522,87.71516804642175,28.75601475699937,12.106162564405512
writing_persona7_topic0,1726.1277660686976,1070.656820099659,107.40842538665844,64.27551691708861,34.24939767470494,11.349327498509457
writing_persona6_topic9,1718.847661918756,1045.1541627592762,229.15066936529277,143.97263397525023,54.73875692700467,11.027514334774434
writing_persona6_topic8,1551.4260054896076,950.480793846218,188.32929753696115,131.09643254136347,49.37954837401027,7.8662913591815835
writing_persona6_topic7,1352.273440537461,846.8135741104819,161.60535699708862,101.93760177024465,68.82400379839936,16.731627111517533
writing_persona6_topic6,667.2619766665516,432.3872135392008,148.42687572753445,94.97493531227597,76.25603128556064,13.94309934686798
writing_persona6_topic5,959.5468535915765,592.9978568021962,133.8803702789241,82.44566748906267,39.19428126219917,7.524813056357928
writing_persona6_topic4,1745.3266424166277,1088.4130240396198,223.51577638191404,144.57128541282293,38.645173537021336,6.4329694646946685
writing_persona6_topic3,1439.8362257850993,922.3783602916656,221.65187815256283,141.6731203184026,67.38106770259554,10.37265509202426
writing_persona6_topic2,1431.6827748625408,901.5941776557428,179.3129189212667,108.94409595014312,42.22715140838095,10.629199672244425
writing_persona6_topic19,1978.2463848467896,1243.4469581173062,177.43894420238772,107.81278340214213,51.964231896242055,11.401145366054454
writing_persona6_topic18,1597.0891218769084,962.8084505106856,201.6675569364811,126.05291753813832,56.702054049571345,11.711844198627684
writing_persona6_topic17,1624.866862864616,990.8303154393196,142.11266862755312,94.51572709784068,67.08344255787627,8.262746026344955
writing_persona6_topic16,1287.8877386209786,773.828649522497,188.42254453776866,104.52249410988786,47.148837616587144,10.514639774965545
writing_persona6_topic15,1211.6462472421472,751.6433545700569,124.7517473049895,82.14080538971048,56.48411463799518,7.494066672414757
writing_persona6_topic14,1871.1249189663931,1165.533449986612,185.96295916719262,113.82798731159036,46.49309023855483,6.9753255874369655
writing_persona6_topic13,1567.5411877388992,953.9963660004388,166.21917433589445,107.89556865478136,87.43372030586534,25.38577930352117
writing_persona6_topic12,671.6009676865083,413.5520175697922,196.87828857872594,130.36716221593989,75.21759704841172,20.830943160506525
writing_persona6_topic11,1988.6648235578607,1204.3780656720826,188.02359048009026,123.4253732922782,108.29219730372358,23.131638330620945
writing_persona6_topic10,1610.586551800045,1026.9267836738716,165.17618364962118,106.60047845222739,40.725057017976134,7.73083968249731
writing_persona6_topic1,1248.586840462343,801.91440173825,175.2641564547789,114.67756358537977,56.97786681644095,10.966706560747888
