filenames,role_path_length,trait_path_length,role_max_jump,trait_max_jump,role_pc1_path_length,role_pc1_max_jump
therapy_persona12_topic3,1250.0776620551244,810.7527170193606,125.7491053928891,88.53727827908904,151.34317172867858,28.727819392299505
therapy_persona12_topic2,1222.3951286557933,772.2141873703565,120.18478432470364,80.7361939573069,133.34236834345316,35.56010619842104
therapy_persona12_topic19,983.9923106197346,633.2557766396249,116.20848439833938,78.54090991937788,84.10383957927485,14.437881061001171
therapy_persona12_topic18,1098.608002245867,707.3482517586482,133.71938921184548,91.09402046942849,147.7260941073137,57.05359852050864
therapy_persona12_topic17,1067.963290310241,676.411500378592,119.04100887742078,81.65016028973645,118.08993204912932,34.3545405094563
therapy_persona12_topic16,1115.348617746596,706.296932336653,135.9412609373957,86.36406420414338,89.14595247765118,35.48440840416765
therapy_persona12_topic15,1122.2315354684902,735.8496613268528,105.46914376591941,71.395083964243,191.71098413700176,39.635132630979804
therapy_persona12_topic14,1188.50458858686,772.8904169990146,118.77304509828627,72.89260537690792,168.612954895905,30.84606206391031
therapy_persona12_topic13,963.7991332664949,622.6474772703281,121.30317600073823,82.12294375566282,179.66536687096826,33.394597964934036
therapy_persona12_topic12,1907.812016679532,1400.6940054747893,308.7862419494882,260.24298930785034,146.61620965258908,35.9624175928903
therapy_persona12_topic11,1045.6125874469813,653.9235359352188,118.81685067222159,74.91939943568286,128.969366706434,30.656299151928497
therapy_persona12_topic10,989.3698770382763,629.6875078755276,105.56265502317302,69.40940703205871,131.49483278496908,22.914340797570794
therapy_persona12_topic1,1257.795794529674,841.1624182113231,127.73003623223356,83.08175761334562,195.97857819165964,30.491355050352904
therapy_persona12_topic0,1298.9598881088123,816.0334215189457,168.6042490850091,105.68295499344889,159.09620441808758,41.093571438157525
therapy_persona11_topic9,963.5967779518649,640.9527587970191,100.67276560896025,63.585103080500154,128.31881501741222,18.110135200642574
therapy_persona11_topic8,1163.4054800412732,729.7769792010124,169.35155791959855,104.43833074269097,102.44435716285977,28.05087539223918
therapy_persona11_topic7,452.21056999997234,278.75227408540957,100.38542737040954,63.74407512804376,22.137442089218183,7.0842378467626155
therapy_persona11_topic6,929.197473063768,628.5566381139427,105.21013627921245,72.40520581269669,106.48828263226125,21.910696808306028
therapy_persona11_topic5,945.5090992368985,624.1580034107185,97.27675338917146,62.77808835260708,91.2054782353091,18.498578692910762
therapy_persona11_topic4,1014.2391853507308,650.9637735085063,138.82693999930396,91.38752857592128,74.97226439510426,11.19765350389723
therapy_persona11_topic3,1012.7789221571724,657.0805823855338,115.02582596810436,75.29688450712585,98.97769471689784,20.586483291751733
therapy_persona11_topic2,972.7914960504447,661.8679038921993,118.10540251453288,82.72956760939202,77.61764841907562,26.2325478795454
therapy_persona11_topic19,933.761333455833,597.6455656635666,140.06967731269293,95.94169516485114,82.15979055684866,29.792701522291214
therapy_persona11_topic18,798.3907134469333,526.4353133211412,108.9336113653537,73.13211000252221,67.63919776495692,15.911304320881545
therapy_persona11_topic17,989.0831620563067,645.2500297557424,112.5687658870513,72.61974921819593,139.0899361835941,29.040365246927866
therapy_persona11_topic16,971.2766630924674,613.2082497022067,119.93147464902627,73.53758340940043,97.53747481202316,14.925393845570792
therapy_persona11_topic15,795.3989541848983,507.11746398633454,89.86741057020693,59.67757961646507,73.4906309157467,13.455983418002207
therapy_persona11_topic14,985.0561514120221,637.991682330037,116.23681192900783,76.54189097347233,101.5596206495689,22.99428004177162
therapy_persona11_topic13,1142.3068481424937,741.2829374974673,132.56915030279364,86.2274632604098,143.1162948203582,21.847689212915213
therapy_persona11_topic12,1242.2142330884049,826.1510585919012,206.62270171413766,143.22318934972196,128.33340506523635,33.39708034418308
therapy_persona11_topic11,907.4484620140827,569.1355667123541,123.56667056806222,81.01671868906973,119.83735924673414,23.448645391405535
therapy_persona11_topic10,983.6232280378704,628.8579132764498,119.69559988927897,83.06512319809757,73.75558754940273,17.226960590386447
therapy_persona11_topic1,1204.723904899106,799.4973079417016,113.01110045761935,76.22586340386705,200.5336049439817,32.39869329365071
therapy_persona11_topic0,1180.4878596627616,798.403680199044,134.2572270260233,94.79966229229512,182.79301002050977,44.04371269861038
therapy_persona10_topic9,939.1393152296032,618.4671765291006,154.39704097518066,102.60431189568877,117.27370217494493,23.02460080863331
therapy_persona10_topic8,1219.9630692202838,802.9330534798925,117.60854211301354,77.55153681148082,162.06689272113894,20.320837072417397
therapy_persona10_topic7,990.687927893032,666.1907847830261,107.18097136934325,76.03353287285995,77.87853863849789,19.36229634353095
therapy_persona10_topic6,953.5529357329339,599.4148745684739,103.56854921681368,67.46712756827718,107.49456889816695,19.981084793803923
therapy_persona10_topic5,970.7182761865968,632.6341638911291,121.97080024981646,76.0004460456787,113.69084030519531,27.308488827637742
therapy_persona10_topic4,1184.7662119833108,760.895346287469,156.1931550120445,105.96650621218411,102.10639517861759,19.422644424626874
therapy_persona10_topic3,852.0123197266732,545.7513835198049,121.0042669383864,72.56806342644389,64.36186961186755,14.992091137610158
therapy_persona10_topic2,1128.4040455697466,746.9101353806553,123.6219274826693,84.09843072175781,129.3610444189587,26.1660816888861
therapy_persona10_topic19,862.6208233604681,567.8488662685807,111.08525244878724,73.80017532330051,102.34925050972592,21.58929906850116
