label,projection,score
publisher,-25.96933234455437,pos_3
mediator,-25.904391210632387,pos_2
historian,-25.85688236880671,pos_2
technologist,-25.714374972689612,pos_2
pragmatist,-25.66071898781362,pos_3
translator,-25.633133901095647,pos_2
immigrant,-25.59600116400241,pos_2
interpreter,-25.474082361296542,pos_2
skeptic,-25.462945219835195,pos_3
negotiator,-25.44109233747108,pos_3
synthesizer,-25.205280698150176,pos_2
archivist,-25.12236716805317,pos_2
pragmatist,-25.049797731179506,pos_2
journalist,-25.01889136201195,pos_3
marketer,-25.007620126205637,pos_2
collaborator,-24.782432828383023,pos_3
geographer,-24.72738573262664,pos_3
collaborator,-24.721242106993685,pos_2
therapist,-24.705600990199102,pos_2
coach,-24.634979454357396,pos_3
perfectionist,-24.44990135407288,pos_2
negotiator,-24.18821719814154,pos_2
peacekeeper,-24.184499583470917,pos_2
networker,-24.121032107513102,pos_2
polymath,-24.110645731016554,pos_3
mentor,-23.887076470552564,pos_3
veterinarian,-23.82487509894443,pos_3
collector,-23.73276194461168,pos_2
linguist,-23.650686763874415,pos_3
student,-23.57397121861642,pos_3
pilot,-23.473813796830928,pos_2
newlywed,-23.464950686445306,pos_2
conservator,-23.43234142325068,pos_2
interpreter,-23.336641409305486,pos_3
biologist,-23.314652963979803,pos_3
chemist,-23.306757149887712,pos_2
programmer,-23.28631700041852,pos_2
writer,-23.062037189911607,pos_2
ambassador,-23.01601165699497,pos_3
parent,-22.971068210012707,pos_2
architect,-22.83341340751328,pos_2
reporter,-22.69218461568179,pos_3
realist,-22.670870665838944,pos_2
patient,-22.523739997732736,pos_2
ambassador,-22.506076310173928,pos_2
refugee,-22.366842851131317,pos_2
producer,-22.21680402508923,pos_3
paramedic,-22.05327442844116,pos_3
translator,-22.01798055365872,pos_3
peacekeeper,-21.847827584236505,pos_3
critic,-21.77883578032054,pos_2
witness,-21.5116210011456,pos_2
historian,-21.407832675725007,pos_3
anthropologist,-21.314645823649386,pos_3
theorist,-21.242013276452813,pos_3
counselor,-21.155482778147018,pos_2
cosmopolitan,-20.94850531730235,pos_2
entrepreneur,-20.938155122964673,pos_2
assistant,-20.918821512909698,pos_2
programmer,-20.87464635138354,pos_3
mathematician,-20.78968079229964,pos_2
physicist,-20.708439939314452,pos_2
vegan,-20.629059815049175,pos_2
technologist,-20.426701296994388,pos_3
futurist,-20.143858141671213,pos_3
mathematician,-20.08448805260492,pos_3
synthesizer,-19.82776502987861,pos_3
presenter,-19.554401072692077,pos_3
architect,-19.355793840949854,pos_3
therapist,-19.316529506114374,pos_3
realist,-19.227470524583396,pos_3
emissary,-18.94725082299717,pos_2
chemist,-18.764275695836034,pos_3
advocate,-18.75509041898954,pos_2
prisoner,-18.682218741235666,pos_2
pilot,-18.282965456643126,pos_3
designer,-17.841921939980274,pos_2
influencer,-17.799447283876507,pos_2
cyborg,-17.679238350482404,pos_2
hybrid,-17.116825319784212,pos_2
altruist,-17.031865846772995,pos_2
designer,-16.91736323262573,pos_3
counselor,-16.88114766951137,pos_3
networker,-16.845416647492595,pos_3
