label,projection,distance
pos_p0_q237,-9.17492425559885,2.7422416495071626
pos_p4_q231,-14.663815739674446,2.7466498345684336
pos_p3_q74,-9.170104264827424,2.747061640278588
pos_p0_q145,-14.668691921150112,2.7515260160440995
pos_p2_q161,-14.69240144412086,2.7752355390148473
pos_p0_q103,-14.700653806706379,2.783487901600367
pos_p1_q29,-9.124693445542738,2.7924724595632746
pos_p1_q177,-14.739077116840171,2.821911211734159
pos_p0_q160,-9.049961187165447,2.867204717940565
pos_p0_q23,-14.791411482969233,2.8742455778632205
pos_p0_q102,-9.031841245020185,2.8853246600858267
pos_p3_q119,-14.810859244791422,2.8936933396854094
pos_p1_q140,-9.00398036352144,2.9131855415845713
pos_p4_q183,-8.992776504647052,2.92438940045896
pos_p2_q51,-8.972969901649064,2.9441960034569483
pos_p0_q107,-8.937727489956009,2.9794384151500033
pos_p0_q189,-8.931870016776683,2.985295888329329
pos_p1_q200,-14.905475331809093,2.988309426703081
pos_p4_q203,-14.906754415220819,2.9895885101148068
pos_p2_q177,-14.925209809969344,3.0080439048633316
pos_p3_q8,-8.869671360908399,3.0474945441976136
pos_p0_q117,-14.981211557272353,3.0640456521663406
pos_p0_q77,-8.852313322576853,3.0648525825291593
pos_p0_q96,-14.994367344332268,3.077201439226256
pos_p4_q195,-8.831447386554933,3.0857185185510794
pos_p2_q36,-15.0361986609599,3.1190327558538886
pos_p1_q19,-8.794835920371181,3.122329984734831
pos_p0_q16,-15.03974455794336,3.1225786528373476
pos_p1_q146,-15.060551088265003,3.1433851831589905
pos_p2_q1,-8.764691259689842,3.15247464541617
pos_p2_q83,-15.093390401298509,3.1762244961924964
pos_p3_q189,-8.700977762489822,3.21618814261619
pos_p0_q67,-8.691887692872367,3.225278212233645
pos_p4_q49,-8.646706561691516,3.2704593434144957
pos_p1_q221,-15.221071755934057,3.3039058508280448
pos_p2_q9,-8.59692359085577,3.320242314250242
pos_p0_q21,-8.52195088422259,3.3952150208834215
pos_p3_q140,-15.326827633975647,3.4096617288696347
pos_p2_q145,-8.506527714826476,3.4106381902795366
pos_p2_q4,-15.360414473907971,3.443248568801959
pos_p2_q150,-8.442245062554395,3.474920842551617
pos_p3_q222,-8.422288843471327,3.4948770616346856
pos_p2_q82,-8.422260996744548,3.4949049083614643
pos_p1_q59,-15.433308514952461,3.516142609846449
pos_p2_q197,-8.390660052179033,3.526505852926979
pos_p0_q166,-15.452997200643411,3.535831295537399
pos_p1_q35,-8.369786364872125,3.5473795402338872
pos_p3_q139,-8.353328206902919,3.563837698203093
pos_p2_q181,-15.499645608245425,3.5824797031394127
pos_p3_q34,-8.324937668122544,3.592228236983468
pos_p1_q28,-15.535985550666135,3.618819645560123
pos_p0_q213,-8.271259933471299,3.645905971634713
pos_p3_q100,-8.268082083103018,3.6490838220029946
pos_p2_q57,-8.243749818657827,3.673416086448185
pos_p1_q96,-15.608191581376376,3.691025676270364
pos_p3_q223,-8.209080051926463,3.708085853179549
pos_p4_q167,-8.19105629507842,3.726109610027592
pos_p1_q228,-15.65091311857477,3.7337472134687584
pos_p3_q174,-8.16904884428022,3.748117060825793
