label,projection,distance
pos_p1_q114,-36.63089983124198,1.3521238287105675
pos_p2_q39,-36.62278249979053,1.360241160162019
pos_p4_q235,-36.62035049124298,1.36267316870957
pos_p3_q217,-39.35585675811281,1.3728330981602568
pos_p2_q119,-39.35688411726668,1.3738604573141302
pos_p2_q111,-36.60375104529769,1.3792726146548588
pos_p3_q92,-39.36624813583297,1.383224475880418
pos_p1_q45,-36.590729975406354,1.3922936845461962
pos_p0_q7,-36.58530116166667,1.39772249828588
pos_p0_q116,-36.58109901247709,1.401924647475461
pos_p2_q56,-36.55451636563552,1.4285072943170292
pos_p1_q92,-39.426096726736624,1.4430730667840734
pos_p1_q207,-39.42841584826546,1.4453921883129084
pos_p3_q132,-36.53703554526644,1.4459881146861093
pos_p1_q149,-36.5340646450199,1.4489590149326474
pos_p0_q182,-36.53348162609967,1.4495420338528788
pos_p4_q31,-39.457612635660915,1.4745889757083646
pos_p2_q47,-36.50783193798061,1.4751917219719388
pos_p0_q115,-39.46333055604191,1.4803068960893597
pos_p4_q207,-39.4671274332834,1.484103773330851
pos_p4_q33,-39.47535346798699,1.492329808034441
pos_p3_q56,-39.481006026433015,1.4979823664804641
pos_p2_q105,-39.48327167068375,1.5002480107311982
pos_p2_q66,-39.488926813863465,1.5059031539109142
pos_p3_q165,-36.47511091649979,1.5079127434527635
pos_p4_q28,-36.46289072831339,1.5201329316391607
pos_p2_q124,-36.45996425896618,1.5230594009863694
pos_p1_q40,-36.45753747480056,1.5254861851519905
pos_p2_q232,-39.511508376962155,1.5284847170096043
pos_p1_q116,-39.52629883170649,1.5432751717539404
pos_p4_q63,-36.43297552870947,1.5500481312430807
pos_p1_q217,-36.43177383949688,1.5512498204556735
pos_p4_q129,-36.42954856406183,1.5534750958907182
pos_p2_q130,-39.53832618754391,1.5553025275913583
pos_p3_q99,-39.54287171115885,1.559848051206302
pos_p2_q166,-36.41105381084568,1.5719698491068712
pos_p0_q157,-36.41039707141375,1.572626588538803
pos_p2_q216,-36.40912532824953,1.5738983317030204
pos_p1_q130,-36.39633521187393,1.5866884480786183
pos_p1_q115,-39.57048192506692,1.5874582651143712
